CO2air,CO2top,VPair,VPtop
871.0020448691035,871.0020448691035,2367.464239539279,2367.464239539279
1259.746725275358,669.6275846008755,2227.859481074409,2055.7806369136742
1639.9664041113172,670.6993598721605,2188.5935641666615,2052.646877903125
2012.0818742116357,671.7482916065642,2183.991373666175,2064.737583172608
2376.3505120924065,672.7750534478117,2173.638617028124,2053.037039083632
2732.986287729049,673.7803187694263,2169.921827672746,2052.4400856407724
3082.178100534432,674.7646399115035,2176.9188274879325,2064.7015642917113
3429.1620989580115,677.0987167430121,2179.788151288404,2065.3524755851763
3769.608402263285,678.2276199204242,2197.4292349543607,2089.439806795782
4103.650701435715,679.335137345572,2204.516164475197,2091.3692102911255
4431.416742687332,680.4218449297979,2207.271447375789,2091.5330462194647
4753.029977396686,681.4881522034464,2208.3210711774364,2091.550440530954
5060.308375878175,680.3406326582447,2208.5773016590956,2091.5015060560354
5361.229355101767,681.1888605449061,2208.6735619679393,2091.499417535495
5655.9264072283095,682.0196292052785,2217.1722801695664,2104.0005604916964
5934.502887819389,680.8708447574077,2220.3668676368,2104.6095213502927
6206.781572256935,681.5379031857647,2230.0659775215963,2117.450489485563
6472.910462229539,682.1897078905554,2216.2606752791744,2092.296946435564
6733.027092676571,682.8269082305744,2211.3655998819863,2091.493688029194
6987.268244868338,683.4497155092695,2209.5728036665614,2091.4628645885678
7235.766029926047,684.0585268226927,2217.396296477913,2104.2076795725266
7478.6522514876115,684.6535208691035,2220.4530356942137,2104.6162762448007
7716.054235678917,685.2350802330121,2221.617932035664,2104.632719487527
7948.096340054416,685.8035095575804,2222.057619627188,2104.6346148946673
8174.898540110325,686.3591866830119,2230.7343675074812,2117.453348492573
8396.579509101137,686.9023233036341,2242.6044824329133,2130.753946506687
8613.253703631555,687.4332882969197,2264.2330779879385,2157.175241644684
8825.038905015834,687.9520129984327,2264.2418803694063,2144.9982409418662
9032.04274130735,688.4592067112472,2272.8899909481484,2157.64802699088
9234.37336199285,688.9549568213121,2284.8886655008578,2171.157280799606
9408.469556100688,686.0610091910435,2289.428037313907,2171.5607731539317
9560.970042481393,684.5369546128582,2282.046581968118,2158.153246217368
9709.323529683303,684.8131185429895,2279.3708143261047,2158.0123374176897
9853.644796306398,685.0817315833797,2269.361079878253,2144.6861592264127
9994.04043556682,685.3431269287996,2274.566929362966,2157.865973115922
10112.332430895809,683.9627944474784,2276.435127821164,2157.9846885637685
10227.180784298153,684.1570872639875,2277.1410269301737,2157.986884846631
10338.689267946433,684.3456587239937,2259.2414907720313,2131.3096861125136
10446.948736870692,684.528876084687,2270.456477227478,2157.8076251648404
10552.058619435295,684.7066576324629,2266.041018302794,2144.606079752256
10654.109031654301,684.8792993601775,2264.414115349966,2144.520789228611
10753.190695259615,685.0468816342758,2254.850792322565,2131.216897498025
10849.38516841677,685.2096912845975,2268.716201172411,2157.803486114845
10942.78303386455,685.3676198297428,2256.357708718316,2131.3024710589757
10989.36442749365,682.5284810145594,2269.035144144591,2157.885600541707
11034.393452658602,682.5919082841216,2274.012398065421,2157.950132552786
11077.925528587677,682.653182722259,2257.835118644625,2131.1622693919026
11120.003982044465,682.7124981055644,2269.618268285458,2157.886271054217
11181.041435995907,684.0167609196341,2256.48549161318,2131.209757213904
11240.162225026137,684.1068984656654,2251.8435085868837,2131.108858019188
11297.428036145562,684.1941791767487,2241.1965578380587,2117.8384141220777
11352.895462676854,684.2787465330576,2237.4007050322834,2117.7854779695886
11406.61931211468,684.3606845449349,2244.63423506801,2131.049199268829
11458.657703811406,684.4399949206025,2238.6511818028234,2117.8334906866353
11509.063595477919,684.5168160393199,2227.5534545007113,2104.5894944838747
11557.884863823077,684.5912797202703,2232.2687751674216,2117.73022638814
11600.932320453556,684.3871354478423,2225.280154418761,2104.577845050255
11642.609727797404,684.4496764666106,2231.3620420232296,2117.730229917075
11682.964087707118,684.5101766019728,2224.956771860565,2104.5772598081044
11722.037477866405,684.568755160166,2213.755288363045,2091.405515281094
11759.870637930084,684.6254732569116,2200.898983088724,2078.302710112122
11796.501253682603,684.6804160905747,2196.355065037466,2078.2533519141984
11831.969311799738,684.7335864308135,2185.943168622353,2065.2678087294566
11866.308247933941,684.7851206931238,2190.740982091023,2078.2023568782283
11899.55925583053,684.8349365216827,2175.1177520381707,2052.35286756091
11931.755175645503,684.8831984670378,2160.8772325501263,2039.4217686564007
11936.650263612668,683.3939914064003,2164.175447741413,2052.215665852713
11941.383764814002,683.4003956877134,2139.286323011138,2013.875444984115
11945.954131793258,683.4066650853405,2139.2584597536247,2026.512183364056
11994.251039478135,686.1524587424093,2139.524744586065,2026.5593103751144
