CO2air,CO2top,VPair,VPtop
871.0020448691035,871.0020448691035,2367.464239539279,2367.464239539279
890.4839109057237,674.3990169874344,2217.7492679219945,2142.2189384459725
908.6590363436384,674.9267656880277,2182.1020655002135,2082.968878772104
926.0510528727334,675.4318282760537,2180.5500839580886,2072.8195684798147
942.6909091794903,675.9149348146886,2170.6493688586334,2060.8533179466567
958.6137712051127,676.3772775999765,2167.528874605068,2057.004523006238
973.8530174201211,676.8198379009307,2175.6527197141963,2064.535964940219
988.9712270950175,678.8026192847876,2178.4347439874537,2067.0983881411357
1003.4728155047183,679.2946938495511,2197.572659376114,2084.238790937653
1017.3762048842807,679.7662414083193,2204.004540687374,2090.8120219241864
1030.7065348667172,680.2183517524161,2206.13201593853,2093.3213938904196
1043.4878370184317,680.6518401407797,2206.8312137490316,2094.275379933704
1055.0915791440736,679.1788819431953,2206.9536444582395,2094.3073607780375
1066.1941952142292,679.5012631100515,2206.9922686350533,2094.3186684589464
1076.8232239210263,679.8099866497688,2216.2712914472118,2103.2375176895243
1086.3057775466825,678.5614657786579,2219.2384690651265,2106.0478818572687
1095.3657409364473,678.7912843215795,2229.5201847067315,2116.442276117616
1104.0206196906545,679.0106335464516,2213.883323287038,2100.088021947898
1112.2915359448762,679.220375709114,2209.0788498090237,2095.620406322131
1120.1956515513887,679.4208159700917,2207.558838188394,2094.3940273033336
1127.7507748808384,679.6124763113396,2216.364274262139,2103.625979808044
1134.971038398527,679.795575622415,2219.271714392322,2106.1513999454296
1141.8713757624353,679.9705617499034,2220.2125602433125,2106.8469150545375
1148.4660454123255,680.1377962963868,2220.514035680974,2107.039803358603
1154.7700416755017,680.2977342077495,2229.942411226011,2116.7169479692448
1160.7962884322933,680.4506304488302,2242.398719873103,2129.0417602129573
1166.5585102111752,680.596909347913,2265.292284976049,2151.9307436260588
1172.0643046848247,680.7364569553793,2263.4346794419125,2148.4207888031633
1177.3278110381095,680.8700147407997,2272.3251203807185,2157.2589494997915
1182.3597845825682,680.9977024750045,2284.7547642225745,2169.517429075051
1185.9807942365196,679.1140613002069,2288.726077354087,2172.806961782372
1188.585568364438,678.0792518658228,2280.1565368190554,2162.290161855597
1191.0634162743227,678.127355544426,2277.4793839160216,2160.3843588034474
1193.4208336223003,678.173085578082,2266.9064689125917,2149.017258709404
1195.66626316736,678.2167130580531,2273.2146250170726,2157.9574664636007
1196.95256688486,677.3286000019953,2275.180897873374,2159.4640024431083
1198.1737238870455,677.3501882999215,2275.8075307882145,2159.7000385309584
1199.3316620165374,677.3706045130393,2256.4410540324243,2137.0086507490296
1200.434741469871,677.3901598310041,2269.663240212476,2156.2592927576457
1201.4817713910277,677.4086424707119,2264.4179862014503,2147.7939825019894
1202.476842066885,677.4262338275191,2262.7510334030817,2146.5116772017323
1203.4212402232502,677.4429018987996,2252.545087866669,2134.9778247383288
1204.321368173857,677.4588697725118,2268.387167910648,2155.9312307222835
1205.1742409366198,677.4738921575007,2254.2681023372115,2136.402130902351
1204.101306580377,675.9013600095741,2268.7681761344065,2156.9826910416186
1203.0834368079338,675.8863282382507,2273.54356053735,2159.1343018792204
1202.1169739032068,675.8720240158078,2255.5018003085606,2135.360958548612
1201.2043738231112,675.858578472717,2269.1591402622303,2156.8865985813995
1201.1857374550943,676.493084265628,2254.3474310138304,2135.7018051347154
1201.168878820315,676.4928151449134,2249.8114443686995,2133.0797554716414
1201.1516015643522,676.4925192954786,2238.747519015566,2121.0874879134035
1201.135213991241,676.4922576951612,2235.3468772640613,2119.5849653078285
1201.1209571752042,676.4920501537043,2243.7497463495606,2131.0293075978693
1201.1061476909738,676.4917937000776,2236.9305723508696,2120.8030394788857
1201.0908222359785,676.4915289913553,2225.1703151209554,2107.953227985942
1201.0775645300735,676.4913374175123,2231.0125831657974,2117.927159764071
1200.8937613437754,676.3534814624043,2223.3731648597663,2107.497401419761
1200.7205879556807,676.3507801608602,2230.41745106095,2117.8854257574367
1200.5551070891804,676.3481615233319,2223.194589751551,2107.4886991318403
1200.3969279902662,676.3456575833062,2211.3638435024895,2094.667524937897
1200.2456802720735,676.3432625215113,2198.195549219544,2081.6008912528337
1200.102267592693,676.3410096545664,2194.1798208317446,2080.011528297748
1199.965029089139,676.3388346610026,2183.4957389638985,2068.351813150926
1199.8361550045945,676.3368292971256,2189.497439277108,2078.3881874120684
1199.711454533061,676.3348321473137,2172.5908237610365,2056.745804734421
1199.5919748116232,676.3329361117906,2158.0442973460936,2042.8206525733563
1198.4665797923667,675.5909155998227,2162.7214458986373,2052.556985419046
1197.3970400380533,675.5755374611848,2136.102219579655,2018.843225733026
1196.3861135092866,675.5610575057756,2137.3722296255814,2027.0288667715447
1197.1117542724037,676.8567396282306,2138.0211504792114,2027.987829386286
1197.803685891123,676.868371679441,2147.3039950433636,2039.1519993783754
1198.4618793182926,676.8794376867232,2159.435395994232,2051.7896878083952
1199.086797207551,676.8899221090795,2163.4161109409097,2053.5499314921753
1198.832469003902,676.1908245349435,2164.5815088647996,2053.694818929289
1198.589286972621,676.1870460880702,2155.643810939819,2042.3424815204999
1198.3587772521573,676.1834818196461,2152.8665800856265,2041.0233377797992
1198.1402795838792,676.1801032881502,2152.0005939912635,2040.858498075863
1197.930710973915,676.1768264138527,2133.093793764931,2018.2673092009215
1197.7320624851263,676.1737548159919,2127.3831009087025,2015.637059329914
1198.3892350658307,676.8781488279765,2125.7213263588887,2015.4362920716028
1199.0153512749082,676.88867668037,2134.2378350305776,2026.3698710822662
1199.6085934286923,676.8986061710369,2127.8922142036836,2016.9046444677635
1200.1718478873404,676.9080559680359,2125.8877031123384,2015.6076208772552
1200.7078518929177,676.9170720747081,2134.2925498426553,2026.3937511315248
1201.2155415426462,676.9255661475449,2127.9088992578363,2016.9081873516393
1201.5306754299243,676.782003023196,2152.9626338873013,2048.8506156564476
1201.8283466519556,676.7868913309576,2152.167629754629,2041.958387233435
1202.1084336192407,676.7914671444162,2133.248609482256,2018.9413981061184
1203.2331142970768,677.6108766049196,2145.7629355417644,2037.5856272818412
1204.3047511655036,677.6301953472648,2158.9933948719513,2051.3504610444006
1205.3248015687345,677.6485856227117,2172.467748608314,2064.438617746302
1203.7243377550897,675.5565280569447,2176.6014457430483,2066.323618263658
1202.2066459896237,675.5350659079348,2168.567101922124,2054.799311977747
1200.7708545537735,675.5147751915136,2166.0636234876465,2053.7144443221987
1199.4163069300103,675.4956740835661,2192.8754946019126,2088.946649172908
1198.13110133509,675.4774699890789,2173.4526772904173,2056.9296945852197
1197.7574193977136,676.048259714661,2176.9625297332163,2065.5896036897743
1197.402785096224,676.0428435347659,2168.782706154263,2055.051797853804
1197.0667422326644,676.0377276763711,2166.2357705131044,2053.8690737574166
1196.7483163532754,676.0328800157968,2165.44160615459,2053.7256655262163
1194.9393311368397,675.0295431604687,2165.0098400613556,2053.5218921388414
1193.2342330685321,675.0068009187701,2201.7560724988175,2101.395827230266
1192.456273944653,675.5048263466246,2232.665320192981,2129.308025689058
1191.7193620059893,675.4942463574922,2233.3702272608452,2120.1042509272597
1191.0181474230164,675.4841498707635,2204.5085933031046,2083.6306521193924
1190.3610518630371,675.4747991980648,2242.8657612786415,2139.7354302708645
1189.7432242086188,675.4659829537356,2284.183763530044,2181.8028059519515
1189.1519521415032,675.4574349574729,2248.6885481900217,2125.3017824687936
1188.5937296107818,675.449445256766,2247.8589791800455,2131.831214492898
1188.0628663664047,675.441805629103,2228.2358861729244,2108.492378901111
1187.5592083962392,675.4345701524431,2212.698674890038,2094.327839812658
1187.9158320531094,676.022184439343,2264.6359721044732,2163.784658607891
1188.2545857228317,676.0274225641481,2281.8673846501574,2171.851980411873
1187.7452128292584,675.43727927374,2257.9033392940178,2136.3670169671
1186.4405311654982,674.9160267479074,2250.6233617482776,2132.7575394164937
1185.2100160519815,674.8996035148301,2267.4512667106787,2157.048768564797
1184.0474696820809,674.8840661449718,2272.983862599,2159.0457126138717
1182.9559286124013,674.8695335083104,2323.0579171780664,2221.960982422145
1182.7434385710492,675.3657020180921,2369.1754586042325,2264.991736030461
1182.5401453573697,675.3627596521565,2364.3076205967486,2244.010232721653
1182.336916673685,675.3597351604678,2281.5722255557816,2143.5771713885897
1182.1513255563589,675.3571433321545,2306.3155032228965,2194.7379172072415
1181.97570177392,675.3546252144491,2314.603861905452,2199.66214979452
1181.8054484389206,675.3521426672187,2287.3428127976717,2163.360710803203
1181.6429998882863,675.349799637796,2269.357972139398,2147.679770870554
1181.4946761693727,675.3477282036758,2302.403293377594,2195.0432737787314
1181.359850210724,675.3458500421582,2352.456470719414,2249.6783781724134
1182.055127982776,675.9317513103712,2419.088854727697,2317.8443869268076
1182.707757307927,675.9417566753622,2389.5269788939445,2263.085788529444
1183.6491183065993,676.213236806532,2339.515766875581,2208.363136761238
1183.5645048517936,675.4862190581725,2374.382716103532,2263.6400724996674
1182.6645265220593,674.9599765801731,2365.760467849856,2243.560840890548
1181.8190530394183,674.9485673053475,2402.9698837793994,2293.435131063368
1181.024340141001,674.9378340566184,2445.644332736386,2337.097721574434
1181.9015863735867,676.0554417615797,2459.7940640775137,2340.9501276398164
1182.7248039399135,676.0682472001424,2390.7158700824307,2253.97983907993
1183.5196233093018,676.0809149763049,2472.5396110019806,2369.527474983122
1184.2659826450044,676.0925494507737,2447.2432459785855,2319.519873033904
1184.9708008076907,676.1035854336088,2418.5352992768667,2288.5328060094052
1185.6476670030097,676.1143280506651,2471.276460720316,2360.784330807971
1186.2836723627852,676.1242466534329,2446.8299243649226,2318.5058511328975
1186.7186919239748,676.0038133260898,2418.38348658781,2288.2482955839923
1186.4755154075533,675.5286321956995,2440.4347970117574,2323.0542140703656
1186.2419300438344,675.5252046046579,2427.032270400428,2300.8106627269776
1186.0250963642313,675.5220929300577,2453.47503226489,2337.296606346017
1185.819843491026,675.5191064575091,2462.196620576777,2340.9879060255544
1185.625552926476,675.5162794888217,2464.9766946719647,2341.399499555604
1185.4518999637448,675.5138532340901,2538.9235831087494,2434.274252586797
1186.9391891598298,676.8365868534786,2573.9251523234243,2456.433017378765
1188.1826430455262,676.7075665417412,2552.731179042055,2420.929640364348
1189.3614819738839,676.7273233501502,2535.43139402193,2403.2941046378564
1188.8154955179825,675.4528481773419,2497.3070473246853,2360.719503493421
1188.3076480321317,675.445662859617,2560.0143223448326,2450.2093352390953
1187.8255946634092,675.438737141977,2569.9513579186437,2445.34404924257
1187.372433346904,675.4322668297034,2594.457585361838,2472.226182390226
1186.9451296738087,675.4261535227016,2613.2388290422045,2488.6331152678736
1187.360694721739,676.0139319557655,2586.18798743323,2450.1675545264716
1187.759805474125,676.0201554853106,2610.534812184078,2485.911857450292
