CO2air,CO2top,VPair,VPtop
871.0020448691035,871.0020448691035,2367.464239539279,2367.464239539279
878.7767719014505,683.8825631070704,2229.4619415897855,2260.131447139599
885.892800834348,674.2466381700262,2190.185926464666,2197.8418051610356
892.8260415039339,673.9161589337696,2185.1897211607043,2163.121094653998
899.5989190945913,674.0697453950665,2174.5764039450664,2134.544263184167
906.2195317335195,674.2448903577622,2170.6450423999167,2113.3494669097863
912.6944859341919,674.4175020496485,2177.407383249864,2101.1584220226705
919.5141913866515,675.6264325920881,2180.1296078327887,2093.506553379216
926.203331774712,675.9160029747936,2197.5410461392808,2093.6306794001516
932.7561705790072,676.1273451090962,2204.54242781894,2093.8067621978885
939.1754319858604,676.328535484263,2207.281308321882,2093.9739044965086
945.463973059861,676.5251551440924,2208.333090828341,2094.1145036383946
951.0701157033857,675.5056438948732,2208.5943358150835,2094.109463768985
956.5482617004343,675.5904107801275,2208.693298025378,2094.1069227695075
961.9070113812709,675.7301151337111,2217.113479020942,2097.572507190032
966.5625253078495,674.8887938182702,2220.301220050676,2100.355028225811
971.1059433307978,674.9621015004975,2229.935661727329,2106.237949088237
975.5339812417878,675.0638700570828,2216.318976808792,2102.5694496789424
979.8550251155838,675.1642316817444,2211.459295924627,2099.9460005378646
984.0717234909596,675.2622051070955,2209.654968138812,2098.0898188235246
988.189308145601,675.3578891979276,2217.3815753290332,2100.684395790807
992.2075544847606,675.451253067054,2220.418356985142,2102.533515140522
996.1289100033426,675.5423649412726,2221.592260679729,2103.8404397761838
999.9557590029541,675.6312806332234,2222.0445355630436,2104.7599225774766
1003.6930305991937,675.7181292330013,2230.649155534784,2109.3276303956727
1007.3429096415412,675.8029482923179,2242.4374022208267,2116.504778440162
1010.910142163446,675.88586271575,2263.9162454491075,2129.5300354520946
1014.3889072521704,675.9666769456791,2264.044512324,2134.750843637723
1017.7865759238563,676.0456361881508,2272.686767108928,2142.3918755555555
1021.1051207135212,676.1227584846976,2284.6415895211994,2151.7849685151305
1023.3692492677819,674.9562988892358,2289.2298274990985,2159.2406627725863
1024.8700853881296,674.2881891161011,2282.0077406058263,2159.4861979065327
1026.3266258238932,674.3057259124093,2279.377424474655,2159.611412818408
1027.7388333526562,674.330660056232,2269.463698253366,2154.699781900262
1029.1130860053627,674.3550295898452,2274.582674375979,2156.5622168136156
1029.7411846032414,673.800836060557,2276.428753384529,2157.7690395894233
1030.349142363254,673.806297912093,2277.136465775188,2158.498179898785
1030.9334489358253,673.8156837905203,2259.416434170977,2148.2418573872274
1031.5049203447616,673.8249096509838,2270.4577690851866,2152.731541273286
1032.056384894405,673.8338026680952,2266.0872027516584,2150.100491741422
1032.5909807156077,673.8424269452302,2264.463211831997,2148.5097701939367
