CO2air,CO2top,VPair,VPtop
871.0020448691035,871.0020448691035,2367.464239539279,2367.464239539279
851.5657437755842,668.1419101925426,2250.3123082412117,2041.8146225167588
832.4924544007954,668.1273811262074,2204.979650374809,2052.133850921227
813.8093925992875,668.113114409079,2192.2998277004253,2065.0496051684568
795.4955918444148,668.0988418911838,2179.1300093989075,2052.286624060709
777.5552323203369,668.0850026048942,2173.132769253432,2052.1844667561963
759.9931533053015,668.0715470084966,2177.1996711929187,2065.0365177425906
742.9511300330407,668.0631931624538,2179.3960451641387,2065.142758777589
726.2548855952859,668.0493911505437,2193.7689895406947,2090.975302109917
709.8827933103645,668.0356719332814,2201.2823174531854,2091.271083292282
693.8322375102721,668.0222220117286,2205.1324663895775,2091.2780848860025
678.1006502199904,668.0090392341828,2207.0675159348507,2091.2800291252192
662.6811717062412,667.9963720974383,2207.881050875625,2091.2740117310955
647.6040430499694,667.9846961463905,2208.2817555826405,2091.274321296145
632.8767687712439,667.9732577716057,2215.316306830966,2104.3421618921006
618.5630368832583,667.9649984022424,2218.7725633746118,2104.440878674804
604.6168723541754,667.9549580581594,2227.3142760262463,2117.6164809719353
590.997680864923,667.9453056507712,2217.271942094598,2091.4119127624817
577.7247081557272,667.9358052831791,2212.6412795877045,2091.272249097958
564.7931919825189,667.9265492073155,2210.444677871793,2091.2697236695003
552.2112111601272,667.9174550274289,2216.2895163174644,2104.3707141949853
539.9611864979347,667.9086771307552,2219.2626337871106,2104.4414258717916
528.0384265328407,667.9001336266069,2220.747950336778,2104.4430035155347
516.438254547241,667.8918211669327,2221.48281433466,2104.4436108951495
505.1699258694848,667.8836229828744,2228.714838799249,2117.6176304528444
494.22894492655524,667.8756434976267,2239.193148972238,2130.9355643586177
483.6252890358022,667.8677538279421,2258.1389063483603,2157.719460228774
473.31021011639723,667.8604753654236,2261.143400121731,2144.4784596040904
463.3089571007049,667.8531333096772,2269.572052538354,2157.8008994704687
453.6168943647653,667.8460000394883,2280.775940760511,2171.3400003472184
444.7796237358167,667.8561029698654,2286.3721579459143,2171.4095119044973
436.6351308151856,667.861592977431,2281.756038907786,2157.893582521644
428.77478376206534,667.8568801864544,2279.5627764552637,2157.8668577675967
421.17538723379744,667.8524301512765,2271.0151680448084,2144.4266797675814
413.86291044393295,667.8479393796117,2274.2758587430053,2157.838159427612
407.287659501013,667.8546756356852,2275.7620886473787,2157.85973609269
400.9632606323869,667.8511436314285,2276.496872803606,2157.8602166695664
394.84842194160035,667.8479197888526,2261.741704611967,2131.035847814044
389.0049834789662,667.8444651537327,2269.4065343053408,2157.8242858431895
383.3731929459462,667.8414190557572,2266.141389865467,2144.409391197045
377.96380328004693,667.8383998206169,2264.5744315363463,2144.392704288073
372.75220667519176,667.835594702019,2256.3855859597447,2131.0167826801435
367.78534986112726,667.832614010573,2266.6444119169682,2157.822561871664
362.9838314716001,667.8301458128399,2257.3307460510778,2131.0330375213607
359.65344767464177,667.8512601497923,2266.83858469808,2157.835803501458
356.47301537024356,667.8497237333177,2271.709065145382,2157.849366666571
353.39998493767854,667.8483819097418,2259.251466057406,2131.004695716658
350.5031923070917,667.8468397808039,2267.8262134858087,2157.836311001247
347.11708316252174,667.8351533170638,2257.6727031927057,2131.014478294454
343.88022923284126,667.8334879190331,2253.0037623275484,2130.9940934210154
340.7681582408634,667.8319777536552,2243.3212728496737,2117.6835347133992
337.7946799478119,667.8304486729412,2238.8608523617277,2117.6722304862087
334.97321177153185,667.8289050953741,2243.7850843452597,2130.9800558915226
332.25981028612966,667.8276023950725,2239.0821303502726,2117.681104172405
329.65002395048083,667.8263552518064,2229.4216325573266,2104.4347361978334
327.1778922835903,667.824989012319,2232.105189681767,2117.6596833312833
324.92464050857603,667.8261985945977,2226.1965232764023,2104.4313253501537
322.79472051841867,667.8250248457624,2230.453500175465,2117.6588545893933
320.74419899719067,667.8240777028728,2225.4271016362395,2104.430894413945
318.76961485790326,667.8231709756488,2215.652491062305,2091.257094853862
316.8676375308036,667.8223029388377,2203.7003914996576,2078.1543825696576
315.0546835735435,667.8213841376222,2198.2522096515313,2078.143580703419
313.3072042192062,667.8205967343877,2188.3620489676464,2065.1217437938826
311.6617687539036,667.8196646038965,2190.8349712858762,2078.1317416177567
310.0545311137219,667.819049152046,2177.5475831289973,2052.1709334455527
308.50354609118654,667.8183652568384,2164.135809924054,2039.274729711886
307.836389513962,667.8310974995253,2164.9230059344163,2052.1405828515462
307.14261394761684,667.83101748335,2143.410041999028,2013.7140898491953
306.50327089018054,667.8306348904503,2141.0061312503963,2026.436166722818
304.57055018745365,667.8066183213582,2140.1364874484007,2026.446616783434
302.74760088450176,667.8055254071046,2146.4077262767983,2039.249036147609
301.0297786380839,667.8044884023683,2156.192366396092,2052.135314411958
299.3923832243589,667.803614737279,2161.2212100167635,2052.149308123473
298.50753063812675,667.8155813217935,2163.619814729122,2052.1472533343535
297.64563816645244,667.8152509639511,2157.789736398772,2039.269745145919
296.8259033866457,667.8148414726284,2155.0403937699393,2039.2614049260683
296.0463334713211,667.8144520444093,2153.718360716223,2039.2606738494148
295.2642548898259,667.8142661850894,2138.632622638392,2013.716197652727
294.5205656824625,667.8138950886004,2131.829533205726,2013.6990039306868
293.1292132013618,667.8006468739559,2128.7889683653366,2013.7009432311122
291.82451194390757,667.7998258337396,2134.037665457875,2026.43221000748
290.561473202728,667.7992793366953,2129.838888869535,2013.7123372818223
289.3588083311244,667.7986388127588,2127.83600245806,2013.700392195505
288.23445033352857,667.7979126063224,2133.5516283464085,2026.4319260948328
