MC_AirCan:0.18450192006431562, MC_AirTop:0.0, MC_AirOut:-0.0294400000107288, 
MC_AirCan:0.18291789446161802, MC_AirTop:-0.009715955466491977, MC_AirOut:-0.031114954436872344, 
MC_AirCan:0.18289053792291682, MC_AirTop:-0.009724829059603557, MC_AirOut:-0.031143371833783996, 
[-3.55055843e-02 -2.73612468e-05 -2.57662013e-01 -3.51887818e-02]
[ 473.17639812  667.85037042 2249.79851046 2041.34797816]

MC_AirCan:0.18266288664060965, MC_AirTop:-0.009733698615356192, MC_AirOut:-0.031171776301189905, 
MC_AirCan:0.18263549641235421, MC_AirTop:-0.009742547698342907, MC_AirOut:-0.03120012778353472, 
MC_AirCan:0.18260810232942093, MC_AirTop:-0.009751394336417158, MC_AirOut:-0.031228466347720817, 
MC_AirCan:0.1825807043974644, MC_AirTop:-0.009760237886078875, MC_AirOut:-0.031256791996049874, 
MC_AirCan:0.18255330262202107, MC_AirTop:-0.009769077965066743, MC_AirOut:-0.03128510473095294, 
MC_AirCan:0.18252589700855978, MC_AirTop:-0.009777914346439065, MC_AirOut:-0.03131340455493813, 
MC_AirCan:0.18249848756251152, MC_AirTop:-0.009786746895599507, MC_AirOut:-0.031341691470559575, 
MC_AirCan:0.18247107428928733, MC_AirTop:-0.00979557553285573, MC_AirOut:-0.031369965480398845, 
MC_AirCan:0.1824436571942887, MC_AirTop:-0.009804400211158646, MC_AirOut:-0.03139822658705405, 
MC_AirCan:0.18241623628291412, MC_AirTop:-0.00981322090286724, MC_AirOut:-0.03142647479313327, 
MC_AirCan:0.18238881156056258, MC_AirTop:-0.009822037591879652, MC_AirOut:-0.03145471010125065, 
MC_AirCan:0.18236138303263608, MC_AirTop:-0.009830850268954654, MC_AirOut:-0.031482932514024134, 
MC_AirCan:0.18233395070454067, MC_AirTop:-0.009839658928930082, MC_AirOut:-0.03151114203407407, 
MC_AirCan:0.18230651458168742, MC_AirTop:-0.009848463569068995, MC_AirOut:-0.03153933866402237, 
MC_AirCan:0.18227907466949275, MC_AirTop:-0.009857264188076451, MC_AirOut:-0.03156752240649209, 
MC_AirCan:0.18225163097337893, MC_AirTop:-0.009866060785514892, MC_AirOut:-0.03159569326410708, 
MC_AirCan:0.18222418349877395, MC_AirTop:-0.009874853361456557, MC_AirOut:-0.031623851239491824, 
MC_AirCan:0.18219673225111194, MC_AirTop:-0.009883641916276846, MC_AirOut:-0.03165199633527139, 
MC_AirCan:0.18216927723583287, MC_AirTop:-0.009892426450531448, MC_AirOut:-0.0316801285540713, 
MC_AirCan:0.18214181845838287, MC_AirTop:-0.009901206964883301, MC_AirOut:-0.03170824789851755, 
MC_AirCan:0.18211435592421416, MC_AirTop:-0.00990998346005915, MC_AirOut:-0.03173635437123655, 
MC_AirCan:0.1820868896387851, MC_AirTop:-0.009918755936823724, MC_AirOut:-0.031764447974855135, 
MC_AirCan:0.18205941960756003, MC_AirTop:-0.009927524395964405, MC_AirOut:-0.03179252871200055, 
MC_AirCan:0.18203194583600946, MC_AirTop:-0.009936288838282082, MC_AirOut:-0.03182059658530047, 
MC_AirCan:0.18200446832961, MC_AirTop:-0.009945049264585722, MC_AirOut:-0.031848651597382954, 
MC_AirCan:0.1819769870938444, MC_AirTop:-0.009953805675689154, MC_AirOut:-0.03187669375087648, 
MC_AirCan:0.18194950213420136, MC_AirTop:-0.009962558072409146, MC_AirOut:-0.03190472304840994, 
MC_AirCan:0.18192201345617598, MC_AirTop:-0.009971306455564273, MC_AirOut:-0.03193273949261261, 
MC_AirCan:0.18189452106526904, MC_AirTop:-0.00998005082597422, MC_AirOut:-0.03196074308611421, 
MC_AirCan:0.18186702496698787, MC_AirTop:-0.009988791184459396, MC_AirOut:-0.031988733831544845, 
MC_AirCan:0.18183952516684557, MC_AirTop:-0.009997527531840697, MC_AirOut:-0.032016711731535044, 
MC_AirCan:0.18181202167036145, MC_AirTop:-0.010006259868939344, MC_AirOut:-0.03204467678871573, 
MC_AirCan:0.181784514483061, MC_AirTop:-0.010014988196576823, MC_AirOut:-0.03207262900571828, 
MC_AirCan:0.18175700361047564, MC_AirTop:-0.010023712515574818, MC_AirOut:-0.03210056838517443, 
MC_AirCan:0.18172948905814307, MC_AirTop:-0.010032432826755186, MC_AirOut:-0.032128494929716374, 
MC_AirCan:0.18170197083160688, MC_AirTop:-0.010041149130939942, MC_AirOut:-0.032156408641976705, 
MC_AirCan:0.18167444893641693, MC_AirTop:-0.01004986142895125, MC_AirOut:-0.03218430952458844, 
MC_AirCan:0.18164692337812904, MC_AirTop:-0.0100585697216114, MC_AirOut:-0.03221219758018502, 
MC_AirCan:0.18161939416230513, MC_AirTop:-0.010067274009742838, MC_AirOut:-0.03224007281140029, 
MC_AirCan:0.18159186129451335, MC_AirTop:-0.010075974294168137, MC_AirOut:-0.03226793522086852, 
MC_AirCan:0.18156432478032777, MC_AirTop:-0.01008467057571, MC_AirOut:-0.03229578481122442, 
MC_AirCan:0.1815367846253286, MC_AirTop:-0.01009336285519126, MC_AirOut:-0.0323236215851031, 
MC_AirCan:0.18150924083510217, MC_AirTop:-0.010102051133434896, MC_AirOut:-0.032351445545140106, 
MC_AirCan:0.1814816934152408, MC_AirTop:-0.010110735411264015, MC_AirOut:-0.03237925669397141, 
MC_AirCan:0.18145414237134297, MC_AirTop:-0.01011941568950185, MC_AirOut:-0.03240705503423341, 
MC_AirCan:0.1814265877090132, MC_AirTop:-0.010128091968971777, MC_AirOut:-0.03243484056856293, 
MC_AirCan:0.18139902943386213, MC_AirTop:-0.010136764250497303, MC_AirOut:-0.03246261329959722, 
MC_AirCan:0.1813714675515064, MC_AirTop:-0.010145432534902063, MC_AirOut:-0.03249037322997398, 
MC_AirCan:0.18134390206756876, MC_AirTop:-0.010154096823009844, MC_AirOut:-0.0325181203623313, 
MC_AirCan:0.18131633298767807, MC_AirTop:-0.010162757115644547, MC_AirOut:-0.03254585469930775, 
MC_AirCan:0.18128876031746916, MC_AirTop:-0.010171413413630226, MC_AirOut:-0.0325735762435423, 
MC_AirCan:0.18126118406258296, MC_AirTop:-0.010180065717791058, MC_AirOut:-0.03260128499767436, 
MC_AirCan:0.1812336042286666, MC_AirTop:-0.010188714028951362, MC_AirOut:-0.03262898096434379, 
MC_AirCan:0.18120602082137302, MC_AirTop:-0.010197358347935588, MC_AirOut:-0.03265666414619086, 
MC_AirCan:0.18117843384636154, MC_AirTop:-0.010205998675568328, MC_AirOut:-0.032684334545856314, 
MC_AirCan:0.18115084330929723, MC_AirTop:-0.010214635012674313, MC_AirOut:-0.0327119921659813, 
MC_AirCan:0.18112324921585143, MC_AirTop:-0.010223267360078402, MC_AirOut:-0.03273963700920743, 
MC_AirCan:0.18109565157170138, MC_AirTop:-0.010231895718605603, MC_AirOut:-0.032767269078176745, 
MC_AirCan:0.18106805038253046, MC_AirTop:-0.010240520089081056, MC_AirOut:-0.03279488837553173, 
MC_AirCan:0.18104044565402816, MC_AirTop:-0.010249140472330035, MC_AirOut:-0.03282249490391532, 
[-3.44922026e-02 -2.66151777e-05 -9.85255385e-02  1.09659748e-03]
[ 462.68694584  667.84208322 2204.55183538 2052.14559205]

MC_AirCan:0.18080852060605557, MC_AirTop:-0.010257756869177967, MC_AirOut:-0.032850088665970875, 
MC_AirCan:0.18078088583337995, MC_AirTop:-0.010266352412952958, MC_AirOut:-0.03287762880098505, 
MC_AirCan:0.18075324758499564, MC_AirTop:-0.01027494563397305, MC_AirOut:-0.03290515618190894, 
MC_AirCan:0.18072560586697942, MC_AirTop:-0.010283535860850155, MC_AirOut:-0.032932670811062756, 
MC_AirCan:0.1806979606852793, MC_AirTop:-0.010292122694397443, MC_AirOut:-0.03296017269090177, 
MC_AirCan:0.18067031204576947, MC_AirTop:-0.010300705897406736, MC_AirOut:-0.03298766182396176, 
MC_AirCan:0.18064265995428228, MC_AirTop:-0.010309285329058395, MC_AirOut:-0.033015138212826645, 
MC_AirCan:0.18061500441662764, MC_AirTop:-0.010317860905890723, MC_AirOut:-0.03304260186010912, 
MC_AirCan:0.18058734543860464, MC_AirTop:-0.010326432578573994, MC_AirOut:-0.033070052768439245, 
MC_AirCan:0.18055968302600825, MC_AirTop:-0.010335000318089451, MC_AirOut:-0.033097490940457566, 
MC_AirCan:0.18053201718463352, MC_AirTop:-0.010343564107504798, MC_AirOut:-0.03312491637881106, 
MC_AirCan:0.18050434792027778, MC_AirTop:-0.010352123937080111, MC_AirOut:-0.03315232908615073, 
MC_AirCan:0.18047667523874233, MC_AirTop:-0.010360679801355454, MC_AirOut:-0.033179729065130135, 
MC_AirCan:0.18044899914583318, MC_AirTop:-0.010369231697417861, MC_AirOut:-0.03320711631840459, 
MC_AirCan:0.18042131964736152, MC_AirTop:-0.010377779623870029, MC_AirOut:-0.03323449084863059, 
MC_AirCan:0.18039363674914416, MC_AirTop:-0.010386323580216657, MC_AirOut:-0.03326185265846556, 
MC_AirCan:0.18036595045700354, MC_AirTop:-0.010394863566499246, MC_AirOut:-0.033289201750567654, 
MC_AirCan:0.18033826077676796, MC_AirTop:-0.010403399583078786, MC_AirOut:-0.03331653812759564, 
MC_AirCan:0.1803105677142716, MC_AirTop:-0.010411931630506462, MC_AirOut:-0.03334386179220886, 
MC_AirCan:0.18028287127535456, MC_AirTop:-0.01042045970944667, MC_AirOut:-0.033371172747067177, 
MC_AirCan:0.18025517146586284, MC_AirTop:-0.010428983820631264, MC_AirOut:-0.033398470994830946, 
MC_AirCan:0.18022746829164843, MC_AirTop:-0.010437503964832274, MC_AirOut:-0.033425756538161024, 
MC_AirCan:0.1801997617585693, MC_AirTop:-0.010446020142845725, MC_AirOut:-0.03345302937971876, 
MC_AirCan:0.18017205187248933, MC_AirTop:-0.010454532355481959, MC_AirOut:-0.03348028952216596, 
MC_AirCan:0.1801443386392784, MC_AirTop:-0.010463040603559896, MC_AirOut:-0.03350753696816493, 
MC_AirCan:0.18011662206481222, MC_AirTop:-0.010471544887903634, MC_AirOut:-0.033534771720378435, 
MC_AirCan:0.1800889021549727, MC_AirTop:-0.010480045209340415, MC_AirOut:-0.03356199378146974, 
MC_AirCan:0.1800611789156475, MC_AirTop:-0.010488541568699394, MC_AirOut:-0.033589203154102576, 
MC_AirCan:0.18003345235273027, MC_AirTop:-0.010497033966810938, MC_AirOut:-0.03361639984094114, 
MC_AirCan:0.18000572247212068, MC_AirTop:-0.010505522404506204, MC_AirOut:-0.03364358384465014, 
MC_AirCan:0.17997798927972436, MC_AirTop:-0.010514006882616856, MC_AirOut:-0.033670755167894736, 
MC_AirCan:0.1799502527814527, MC_AirTop:-0.010522487401974943, MC_AirOut:-0.03369791381334058, 
MC_AirCan:0.17992251298322334, MC_AirTop:-0.0105309639634128, MC_AirOut:-0.03372505978365381, 
MC_AirCan:0.1798947698909596, MC_AirTop:-0.01053943656776298, MC_AirOut:-0.03375219308150104, 
MC_AirCan:0.17986702351059078, MC_AirTop:-0.010547905215858239, MC_AirOut:-0.03377931370954938, 
MC_AirCan:0.1798392738480523, MC_AirTop:-0.010556369908531522, MC_AirOut:-0.03380642167046642, 
MC_AirCan:0.17981152090928532, MC_AirTop:-0.010564830646615932, MC_AirOut:-0.033833516966920225, 
MC_AirCan:0.17978376470023696, MC_AirTop:-0.010573287430944734, MC_AirOut:-0.033860599601579375, 
MC_AirCan:0.17975600522686044, MC_AirTop:-0.010581740262351364, MC_AirOut:-0.033887669577112915, 
MC_AirCan:0.17972824249511463, MC_AirTop:-0.010590189141669397, MC_AirOut:-0.03391472689619039, 
MC_AirCan:0.17970047651096455, MC_AirTop:-0.010598634069732571, MC_AirOut:-0.03394177156148184, 
MC_AirCan:0.179672707280381, MC_AirTop:-0.010607075047374792, MC_AirOut:-0.033968803575657784, 
MC_AirCan:0.17964493480934088, MC_AirTop:-0.010615512075430098, MC_AirOut:-0.03399582294138925, 
MC_AirCan:0.1796171591038268, MC_AirTop:-0.010623945154732703, MC_AirOut:-0.034022829661347766, 
MC_AirCan:0.1795893801698274, MC_AirTop:-0.010632374286116955, MC_AirOut:-0.03404982373820531, 
MC_AirCan:0.1795615980133372, MC_AirTop:-0.010640799470417375, MC_AirOut:-0.03407680517463441, 
MC_AirCan:0.17953381264035667, MC_AirTop:-0.01064922070846863, MC_AirOut:-0.03410377397330808, 
MC_AirCan:0.17950602405689214, MC_AirTop:-0.010657638001105545, MC_AirOut:-0.03413073013689979, 
